"","Site","Treatment","Date","CoVariate","Genus_sp","counts","Genus","species"
"1","A","t1",2014-03-01,0.094908377,"Genus_species1",34,"Genus2","species1"
"2","B","t1",2014-03-01,0.709475629,"Genus_species1",3,"Genus2","species1"
"3","C","t1",2014-03-01,0.790470763,"Genus_species1",24,"Genus2","species1"
"4","A","t1",2014-03-10,0.973471218,"Genus_species1",48,"Genus2","species1"
"5","B","t1",2014-03-10,0.527095676,"Genus_species1",26,"Genus2","species1"
"6","C","t1",2014-03-10,0.555124325,"Genus_species1",47,"Genus2","species1"
"7","A","t1",2014-03-20,0.717515678,"Genus_species1",9,"Genus2","species1"
"8","B","t1",2014-03-20,0.278946669,"Genus_species1",62,"Genus2","species1"
"9","C","t1",2014-03-20,0.246075887,"Genus_species1",35,"Genus2","species1"
"10","A","t2",2014-03-01,0.84003337,"Genus_species1",8,"Genus2","species1"
"11","B","t2",2014-03-01,0.21261837,"Genus_species1",84,"Genus2","species1"
"12","C","t2",2014-03-01,0.521603221,"Genus_species1",16,"Genus2","species1"
"13","A","t2",2014-03-10,0.893642324,"Genus_species1",9,"Genus2","species1"
"14","B","t2",2014-03-10,0.396347525,"Genus_species1",82,"Genus2","species1"
"15","C","t2",2014-03-10,0.486592311,"Genus_species1",4,"Genus2","species1"
"16","A","t2",2014-03-20,0.43746716,"Genus_species1",71,"Genus2","species1"
"17","B","t2",2014-03-20,0.24226281,"Genus_species1",86,"Genus2","species1"
"18","C","t2",2014-03-20,0.30355642,"Genus_species1",16,"Genus2","species1"
"19","A","t3",2014-03-01,0.677370009,"Genus_species1",23,"Genus2","species1"
"20","B","t3",2014-03-01,0.308343936,"Genus_species1",NA,"Genus2","species1"
"21","C","t3",2014-03-01,0.310056235,"Genus_species1",17,"Genus2","species1"
"22","A","t3",2014-03-10,0.134521286,"Genus_species1",21,"Genus2","species1"
"23","B","t3",2014-03-10,0.467969675,"Genus_species1",97,"Genus2","species1"
"24","C","t3",2014-03-10,0.060903516,"Genus_species1",28,"Genus2","species1"
"25","A","t3",2014-03-20,0.906462265,"Genus_species1",56,"Genus2","species1"
"26","B","t3",2014-03-20,0.010874136,"Genus_species1",5,"Genus2","species1"
"27","C","t3",2014-03-20,0.24300409,"Genus_species1",32,"Genus2","species1"
"28","A","t4",2014-03-01,0.014303797,"Genus_species1",11,"Genus2","species1"
"29","B","t4",2014-03-01,NA,"Genus_species1",94,"Genus2","species1"
"30","C","t4",2014-03-01,0.21366758,"Genus_species1",50,"Genus2","species1"
"31","A","t4",2014-03-10,0.439723332,"Genus_species1",33,"Genus2","species1"
"32","B","t4",2014-03-10,0.359221985,"Genus_species1",52,"Genus2","species1"
"33","C","t4",2014-03-10,0.843256329,"Genus_species1",91,"Genus2","species1"
"34","A","t4",2014-03-20,0.135976428,"Genus_species1",33,"Genus2","species1"
"35","B","t4",2014-03-20,0.449035328,"Genus_species1",49,"Genus2","species1"
"36","C","t4",2014-03-20,0.497186568,"Genus_species1",90,"Genus2","species1"
"37","A","t1",2014-03-01,0.094908377,"Genus_species2",73,"Genus2","species2"
"38","B","t1",2014-03-01,0.709475629,"Genus_species2",7,"Genus2","species2"
"39","C","t1",2014-03-01,0.790470763,"Genus_species2",92,"Genus2","species2"
"40","A","t1",2014-03-10,0.973471218,"Genus_species2",7,"Genus2","species2"
"41","B","t1",2014-03-10,0.527095676,"Genus_species2",87,"Genus2","species2"
"42","C","t1",2014-03-10,0.555124325,"Genus_species2",91,"Genus2","species2"
"43","A","t1",2014-03-20,0.717515678,"Genus_species2",68,"Genus2","species2"
"44","B","t1",2014-03-20,0.278946669,"Genus_species2",59,"Genus2","species2"
"45","C","t1",2014-03-20,0.246075887,"Genus_species2",54,"Genus2","species2"
"46","A","t2",2014-03-01,0.84003337,"Genus_species2",17,"Genus2","species2"
"47","B","t2",2014-03-01,0.21261837,"Genus_species2",12,"Genus2","species2"
"48","C","t2",2014-03-01,0.521603221,"Genus_species2",2,"Genus2","species2"
"49","A","t2",2014-03-10,0.893642324,"Genus_species2",15,"Genus2","species2"
"50","B","t2",2014-03-10,0.396347525,"Genus_species2",21,"Genus2","species2"
"51","C","t2",2014-03-10,0.486592311,"Genus_species2",30,"Genus2","species2"
"52","A","t2",2014-03-20,0.43746716,"Genus_species2",3,"Genus2","species2"
"53","B","t2",2014-03-20,0.24226281,"Genus_species2",33,"Genus2","species2"
"54","C","t2",2014-03-20,0.30355642,"Genus_species2",68,"Genus2","species2"
"55","A","t3",2014-03-01,0.677370009,"Genus_species2",69,"Genus2","species2"
"56","B","t3",2014-03-01,0.308343936,"Genus_species2",88,"Genus2","species2"
"57","C","t3",2014-03-01,0.310056235,"Genus_species2",65,"Genus2","species2"
"58","A","t3",2014-03-10,0.134521286,"Genus_species2",44,"Genus2","species2"
"59","B","t3",2014-03-10,0.467969675,"Genus_species2",79,"Genus2","species2"
"60","C","t3",2014-03-10,0.060903516,"Genus_species2",58,"Genus2","species2"
"61","A","t3",2014-03-20,0.906462265,"Genus_species2",63,"Genus2","species2"
"62","B","t3",2014-03-20,0.010874136,"Genus_species2",83,"Genus2","species2"
"63","C","t3",2014-03-20,0.24300409,"Genus_species2",NA,"Genus2","species2"
"64","A","t4",2014-03-01,0.014303797,"Genus_species2",54,"Genus2","species2"
"65","B","t4",2014-03-01,NA,"Genus_species2",19,"Genus2","species2"
"66","C","t4",2014-03-01,0.21366758,"Genus_species2",11,"Genus2","species2"
"67","A","t4",2014-03-10,0.439723332,"Genus_species2",5,"Genus2","species2"
"68","B","t4",2014-03-10,0.359221985,"Genus_species2",40,"Genus2","species2"
"69","C","t4",2014-03-10,0.843256329,"Genus_species2",95,"Genus2","species2"
"70","A","t4",2014-03-20,0.135976428,"Genus_species2",7,"Genus2","species2"
"71","B","t4",2014-03-20,0.449035328,"Genus_species2",66,"Genus2","species2"
"72","C","t4",2014-03-20,0.497186568,"Genus_species2",61,"Genus2","species2"
"73","A","t1",2014-03-01,0.094908377,"Genus_species3",32,"Genus2","species3"
"74","B","t1",2014-03-01,0.709475629,"Genus_species3",92,"Genus2","species3"
"75","C","t1",2014-03-01,0.790470763,"Genus_species3",52,"Genus2","species3"
"76","A","t1",2014-03-10,0.973471218,"Genus_species3",9,"Genus2","species3"
"77","B","t1",2014-03-10,0.527095676,"Genus_species3",9,"Genus2","species3"
"78","C","t1",2014-03-10,0.555124325,"Genus_species3",43,"Genus2","species3"
"79","A","t1",2014-03-20,0.717515678,"Genus_species3",73,"Genus2","species3"
"80","B","t1",2014-03-20,0.278946669,"Genus_species3",NA,"Genus2","species3"
"81","C","t1",2014-03-20,0.246075887,"Genus_species3",56,"Genus2","species3"
"82","A","t2",2014-03-01,0.84003337,"Genus_species3",23,"Genus2","species3"
"83","B","t2",2014-03-01,0.21261837,"Genus_species3",45,"Genus2","species3"
"84","C","t2",2014-03-01,0.521603221,"Genus_species3",11,"Genus2","species3"
"85","A","t2",2014-03-10,0.893642324,"Genus_species3",7,"Genus2","species3"
"86","B","t2",2014-03-10,0.396347525,"Genus_species3",53,"Genus2","species3"
"87","C","t2",2014-03-10,0.486592311,"Genus_species3",75,"Genus2","species3"
"88","A","t2",2014-03-20,0.43746716,"Genus_species3",3,"Genus2","species3"
"89","B","t2",2014-03-20,0.24226281,"Genus_species3",42,"Genus2","species3"
"90","C","t2",2014-03-20,0.30355642,"Genus_species3",60,"Genus2","species3"
"91","A","t3",2014-03-01,0.677370009,"Genus_species3",38,"Genus2","species3"
"92","B","t3",2014-03-01,0.308343936,"Genus_species3",37,"Genus2","species3"
"93","C","t3",2014-03-01,0.310056235,"Genus_species3",95,"Genus2","species3"
"94","A","t3",2014-03-10,0.134521286,"Genus_species3",33,"Genus2","species3"
"95","B","t3",2014-03-10,0.467969675,"Genus_species3",2,"Genus2","species3"
"96","C","t3",2014-03-10,0.060903516,"Genus_species3",39,"Genus2","species3"
"97","A","t3",2014-03-20,0.906462265,"Genus_species3",65,"Genus2","species3"
"98","B","t3",2014-03-20,0.010874136,"Genus_species3",48,"Genus2","species3"
"99","C","t3",2014-03-20,0.24300409,"Genus_species3",59,"Genus2","species3"
"100","A","t4",2014-03-01,0.014303797,"Genus_species3",0,"Genus2","species3"
"101","B","t4",2014-03-01,NA,"Genus_species3",3,"Genus2","species3"
"102","C","t4",2014-03-01,0.21366758,"Genus_species3",20,"Genus2","species3"
"103","A","t4",2014-03-10,0.439723332,"Genus_species3",52,"Genus2","species3"
"104","B","t4",2014-03-10,0.359221985,"Genus_species3",41,"Genus2","species3"
"105","C","t4",2014-03-10,0.843256329,"Genus_species3",0,"Genus2","species3"
"106","A","t4",2014-03-20,0.135976428,"Genus_species3",54,"Genus2","species3"
"107","B","t4",2014-03-20,0.449035328,"Genus_species3",87,"Genus2","species3"
"108","C","t4",2014-03-20,0.497186568,"Genus_species3",27,"Genus2","species3"
"109","A","t1",2014-03-01,0.094908377,"Genus_species4",68,"Genus3","species4"
"110","B","t1",2014-03-01,0.709475629,"Genus_species4",99,"Genus3","species4"
"111","C","t1",2014-03-01,0.790470763,"Genus_species4",58,"Genus3","species4"
"112","A","t1",2014-03-10,0.973471218,"Genus_species4",97,"Genus3","species4"
"113","B","t1",2014-03-10,0.527095676,"Genus_species4",95,"Genus3","species4"
"114","C","t1",2014-03-10,0.555124325,"Genus_species4",16,"Genus3","species4"
"115","A","t1",2014-03-20,0.717515678,"Genus_species4",59,"Genus3","species4"
"116","B","t1",2014-03-20,0.278946669,"Genus_species4",49,"Genus3","species4"
"117","C","t1",2014-03-20,0.246075887,"Genus_species4",7,"Genus3","species4"
"118","A","t2",2014-03-01,0.84003337,"Genus_species4",18,"Genus3","species4"
"119","B","t2",2014-03-01,0.21261837,"Genus_species4",39,"Genus3","species4"
"120","C","t2",2014-03-01,0.521603221,"Genus_species4",32,"Genus3","species4"
"121","A","t2",2014-03-10,0.893642324,"Genus_species4",52,"Genus3","species4"
"122","B","t2",2014-03-10,0.396347525,"Genus_species4",9,"Genus3","species4"
"123","C","t2",2014-03-10,0.486592311,"Genus_species4",34,"Genus3","species4"
"124","A","t2",2014-03-20,0.43746716,"Genus_species4",43,"Genus3","species4"
"125","B","t2",2014-03-20,0.24226281,"Genus_species4",86,"Genus3","species4"
"126","C","t2",2014-03-20,0.30355642,"Genus_species4",92,"Genus3","species4"
"127","A","t3",2014-03-01,0.677370009,"Genus_species4",37,"Genus3","species4"
"128","B","t3",2014-03-01,0.308343936,"Genus_species4",87,"Genus3","species4"
"129","C","t3",2014-03-01,0.310056235,"Genus_species4",86,"Genus3","species4"
"130","A","t3",2014-03-10,0.134521286,"Genus_species4",19,"Genus3","species4"
"131","B","t3",2014-03-10,0.467969675,"Genus_species4",6,"Genus3","species4"
"132","C","t3",2014-03-10,0.060903516,"Genus_species4",28,"Genus3","species4"
"133","A","t3",2014-03-20,0.906462265,"Genus_species4",56,"Genus3","species4"
"134","B","t3",2014-03-20,0.010874136,"Genus_species4",58,"Genus3","species4"
"135","C","t3",2014-03-20,0.24300409,"Genus_species4",6,"Genus3","species4"
"136","A","t4",2014-03-01,0.014303797,"Genus_species4",53,"Genus3","species4"
"137","B","t4",2014-03-01,NA,"Genus_species4",80,"Genus3","species4"
"138","C","t4",2014-03-01,0.21366758,"Genus_species4",15,"Genus3","species4"
"139","A","t4",2014-03-10,0.439723332,"Genus_species4",74,"Genus3","species4"
"140","B","t4",2014-03-10,0.359221985,"Genus_species4",5,"Genus3","species4"
"141","C","t4",2014-03-10,0.843256329,"Genus_species4",5,"Genus3","species4"
"142","A","t4",2014-03-20,0.135976428,"Genus_species4",18,"Genus3","species4"
"143","B","t4",2014-03-20,0.449035328,"Genus_species4",49,"Genus3","species4"
"144","C","t4",2014-03-20,0.497186568,"Genus_species4",37,"Genus3","species4"
"145","A","t1",2014-03-01,0.094908377,"Genus_Species5",23,"Genus2","pecies5"
"146","B","t1",2014-03-01,0.709475629,"Genus_Species5",98,"Genus2","pecies5"
"147","C","t1",2014-03-01,0.790470763,"Genus_Species5",60,"Genus2","pecies5"
"148","A","t1",2014-03-10,0.973471218,"Genus_Species5",53,"Genus2","pecies5"
"149","B","t1",2014-03-10,0.527095676,"Genus_Species5",89,"Genus2","pecies5"
"150","C","t1",2014-03-10,0.555124325,"Genus_Species5",5,"Genus2","pecies5"
"151","A","t1",2014-03-20,0.717515678,"Genus_Species5",9,"Genus2","pecies5"
"152","B","t1",2014-03-20,0.278946669,"Genus_Species5",88,"Genus2","pecies5"
"153","C","t1",2014-03-20,0.246075887,"Genus_Species5",94,"Genus2","pecies5"
"154","A","t2",2014-03-01,0.84003337,"Genus_Species5",96,"Genus2","pecies5"
"155","B","t2",2014-03-01,0.21261837,"Genus_Species5",77,"Genus2","pecies5"
"156","C","t2",2014-03-01,0.521603221,"Genus_Species5",45,"Genus2","pecies5"
"157","A","t2",2014-03-10,0.893642324,"Genus_Species5",47,"Genus2","pecies5"
"158","B","t2",2014-03-10,0.396347525,"Genus_Species5",19,"Genus2","pecies5"
"159","C","t2",2014-03-10,0.486592311,"Genus_Species5",70,"Genus2","pecies5"
"160","A","t2",2014-03-20,0.43746716,"Genus_Species5",70,"Genus2","pecies5"
"161","B","t2",2014-03-20,0.24226281,"Genus_Species5",NA,"Genus2","pecies5"
"162","C","t2",2014-03-20,0.30355642,"Genus_Species5",15,"Genus2","pecies5"
"163","A","t3",2014-03-01,0.677370009,"Genus_Species5",28,"Genus2","pecies5"
"164","B","t3",2014-03-01,0.308343936,"Genus_Species5",62,"Genus2","pecies5"
"165","C","t3",2014-03-01,0.310056235,"Genus_Species5",18,"Genus2","pecies5"
"166","A","t3",2014-03-10,0.134521286,"Genus_Species5",NA,"Genus2","pecies5"
"167","B","t3",2014-03-10,0.467969675,"Genus_Species5",3,"Genus2","pecies5"
"168","C","t3",2014-03-10,0.060903516,"Genus_Species5",12,"Genus2","pecies5"
"169","A","t3",2014-03-20,0.906462265,"Genus_Species5",51,"Genus2","pecies5"
"170","B","t3",2014-03-20,0.010874136,"Genus_Species5",65,"Genus2","pecies5"
"171","C","t3",2014-03-20,0.24300409,"Genus_Species5",63,"Genus2","pecies5"
"172","A","t4",2014-03-01,0.014303797,"Genus_Species5",14,"Genus2","pecies5"
"173","B","t4",2014-03-01,NA,"Genus_Species5",28,"Genus2","pecies5"
"174","C","t4",2014-03-01,0.21366758,"Genus_Species5",0,"Genus2","pecies5"
"175","A","t4",2014-03-10,0.439723332,"Genus_Species5",58,"Genus2","pecies5"
"176","B","t4",2014-03-10,0.359221985,"Genus_Species5",60,"Genus2","pecies5"
"177","C","t4",2014-03-10,0.843256329,"Genus_Species5",92,"Genus2","pecies5"
"178","A","t4",2014-03-20,0.135976428,"Genus_Species5",28,"Genus2","pecies5"
"179","B","t4",2014-03-20,0.449035328,"Genus_Species5",62,"Genus2","pecies5"
"180","C","t4",2014-03-20,0.497186568,"Genus_Species5",60,"Genus2","pecies5"
"181","A","t1",2014-03-01,0.094908377,"Genus2_species6",27,"Genus2","species6"
"182","B","t1",2014-03-01,0.709475629,"Genus2_species6",9,"Genus2","species6"
"183","C","t1",2014-03-01,0.790470763,"Genus2_species6",93,"Genus2","species6"
"184","A","t1",2014-03-10,0.973471218,"Genus2_species6",78,"Genus2","species6"
"185","B","t1",2014-03-10,0.527095676,"Genus2_species6",15,"Genus2","species6"
"186","C","t1",2014-03-10,0.555124325,"Genus2_species6",51,"Genus2","species6"
"187","A","t1",2014-03-20,0.717515678,"Genus2_species6",10,"Genus2","species6"
"188","B","t1",2014-03-20,0.278946669,"Genus2_species6",8,"Genus2","species6"
"189","C","t1",2014-03-20,0.246075887,"Genus2_species6",7,"Genus2","species6"
"190","A","t2",2014-03-01,0.84003337,"Genus2_species6",79,"Genus2","species6"
"191","B","t2",2014-03-01,0.21261837,"Genus2_species6",10,"Genus2","species6"
"192","C","t2",2014-03-01,0.521603221,"Genus2_species6",11,"Genus2","species6"
"193","A","t2",2014-03-10,0.893642324,"Genus2_species6",5,"Genus2","species6"
"194","B","t2",2014-03-10,0.396347525,"Genus2_species6",8,"Genus2","species6"
"195","C","t2",2014-03-10,0.486592311,"Genus2_species6",0,"Genus2","species6"
"196","A","t2",2014-03-20,0.43746716,"Genus2_species6",7,"Genus2","species6"
"197","B","t2",2014-03-20,0.24226281,"Genus2_species6",23,"Genus2","species6"
"198","C","t2",2014-03-20,0.30355642,"Genus2_species6",22,"Genus2","species6"
"199","A","t3",2014-03-01,0.677370009,"Genus2_species6",36,"Genus2","species6"
"200","B","t3",2014-03-01,0.308343936,"Genus2_species6",4,"Genus2","species6"
"201","C","t3",2014-03-01,0.310056235,"Genus2_species6",0,"Genus2","species6"
"202","A","t3",2014-03-10,0.134521286,"Genus2_species6",6,"Genus2","species6"
"203","B","t3",2014-03-10,0.467969675,"Genus2_species6",3,"Genus2","species6"
"204","C","t3",2014-03-10,0.060903516,"Genus2_species6",6,"Genus2","species6"
"205","A","t3",2014-03-20,0.906462265,"Genus2_species6",30,"Genus2","species6"
"206","B","t3",2014-03-20,0.010874136,"Genus2_species6",33,"Genus2","species6"
"207","C","t3",2014-03-20,0.24300409,"Genus2_species6",23,"Genus2","species6"
"208","A","t4",2014-03-01,0.014303797,"Genus2_species6",61,"Genus2","species6"
"209","B","t4",2014-03-01,NA,"Genus2_species6",27,"Genus2","species6"
"210","C","t4",2014-03-01,0.21366758,"Genus2_species6",93,"Genus2","species6"
"211","A","t4",2014-03-10,0.439723332,"Genus2_species6",14,"Genus2","species6"
"212","B","t4",2014-03-10,0.359221985,"Genus2_species6",71,"Genus2","species6"
"213","C","t4",2014-03-10,0.843256329,"Genus2_species6",77,"Genus2","species6"
"214","A","t4",2014-03-20,0.135976428,"Genus2_species6",95,"Genus2","species6"
"215","B","t4",2014-03-20,0.449035328,"Genus2_species6",24,"Genus2","species6"
"216","C","t4",2014-03-20,0.497186568,"Genus2_species6",24,"Genus2","species6"
"217","A","t1",2014-03-01,0.094908377,"Genus_species7",36,"Genus2","species7"
"218","B","t1",2014-03-01,0.709475629,"Genus_species7",6,"Genus2","species7"
